parm_i,parm_j,v
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp2,-1.12534666652e-11
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp3,2.23077655252e-12
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp4,-4.14386383613e-14
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip1,2.77631728119e-22
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip2,-2.61398425869e-20
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip1,1.10416798524e-06
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip2,-.0004486877416609
c.indp2#c.indf1#c.FD_temp3,_cons,1.89052418070e-11
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp1,-1.73962835884e-27
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp2,5.12944963852e-28
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp3,-2.35882536523e-29
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp4,3.06973126786e-31
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp1,1.97333354483e-11
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp2,-1.95766643222e-14
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp3,-4.14386383613e-14
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp4,8.43570502422e-16
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_precip1,-3.89756853368e-24
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_precip2,-1.12182176078e-21
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_precip1,-3.55435892648e-08
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_precip2,.0000132275090133
c.indp2#c.indf1#c.FD_temp4,_cons,-5.78585192118e-13
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp1,-.0000205484552675
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp2,-1.91902824122e-07
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp3,5.38750221640e-08
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp4,-1.08090074658e-09
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp1,-5.47949502710e-21
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp2,-4.82234883367e-21
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp3,2.77631728119e-22
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp4,-3.89756853368e-24
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_precip1,2.770736574932799
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_precip2,-3325.383211922824
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_precip1,2.81986612484e-16
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_precip2,-2.56638689344e-13
c.indp1#c.indf1#c.FD_precip1,_cons,-.0000617658504685
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp1,.0280288953175687
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp2,.0002244923096559
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp3,-.0000704189164492
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp4,1.54175372141e-06
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp1,-7.97637524348e-17
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp2,4.28571858415e-18
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp3,-2.61398425869e-20
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp4,-1.12182176078e-21
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_precip1,-3325.383211922824
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_precip2,5063302.511859559
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_precip1,4.96321633761e-13
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_precip2,-6.76800585625e-10
c.indp1#c.indf1#c.FD_precip2,_cons,-.0910134729908834
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp1,-8.22158885262e-20
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp2,-2.72853561127e-20
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp3,1.55915435149e-21
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp4,-2.32898153556e-23
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp1,-.0015302052615759
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp2,.0000493548956373
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp3,1.10416798524e-06
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp4,-3.55435892648e-08
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_precip1,2.81986612484e-16
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_precip2,4.96321633761e-13
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_precip1,83.48496877901296
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_precip2,-72993.93636602591
c.indp2#c.indf1#c.FD_precip1,_cons,-.0000308748840619
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp1,2.27719638498e-16
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp2,2.32269538739e-17
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp3,-1.69183570246e-18
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp4,2.71325949156e-20
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp1,.6217729230421216
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp2,-.0201746679429127
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp3,-.0004486877416609
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp4,.0000132275090133
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_precip1,-2.56638689344e-13
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_precip2,-6.76800585625e-10
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_precip1,-72993.93636602591
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_precip2,88636488.91193053
c.indp2#c.indf1#c.FD_precip2,_cons,.003016174714314
_cons,c.indp1#c.indf1#c.FD_temp1,4.88723112487e-09
_cons,c.indp1#c.indf1#c.FD_temp2,-1.93946218089e-10
_cons,c.indp1#c.indf1#c.FD_temp3,-1.11435481908e-11
_cons,c.indp1#c.indf1#c.FD_temp4,2.82750416624e-13
_cons,c.indp2#c.indf1#c.FD_temp1,-4.20748991194e-08
_cons,c.indp2#c.indf1#c.FD_temp2,9.64249431727e-10
_cons,c.indp2#c.indf1#c.FD_temp3,1.89052418070e-11
_cons,c.indp2#c.indf1#c.FD_temp4,-5.78585192118e-13
_cons,c.indp1#c.indf1#c.FD_precip1,-.0000617658504685
_cons,c.indp1#c.indf1#c.FD_precip2,-.0910134729908834
_cons,c.indp2#c.indf1#c.FD_precip1,-.0000308748840619
_cons,c.indp2#c.indf1#c.FD_precip2,.003016174714314
_cons,_cons,1.10789333392e-07
